UniProt ID,Gene,Protein Name,Panel
Q9UKU9,ANGPTL2,Angiopoietin-related protein 2,"Explore HT assay library, Olink Explore Inflammation"
Q9UM54,MYO6,Unconventional myosin-VI,"Explore HT assay library, Olink Explore Neurology II"
O15294,OGT,UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit,"Explore HT assay library, Olink Explore Oncology II"
O60437,PPL,Periplakin,"Explore HT assay library, Olink Explore Inflammation II"
O94856,NFASC,Neurofascin,"Explore HT assay library, Olink Explore Inflammation"
P13727,PRG2,Bone marrow proteoglycan,"Explore HT assay library, Olink Explore Cardiometabolic II"
P20340,RAB6A,Ras-related protein Rab-6A,"Olink Explore Inflammation, Olink Target 96 Oncology III"
Q15042,RAB3GAP1,Rab3 GTPase-activating protein catalytic subunit,"Explore HT assay library, Olink Explore Neurology II"
Q8IXS6,PALM2,Paralemmin-2,"Explore HT assay library, Olink Explore Neurology II"
Q96RE7,NACC1,Nucleus accumbens-associated protein 1,"Explore HT assay library, Olink Explore Oncology II"
Q9BU40,CHRDL1,Chordin-like protein 1,"Explore HT assay library, Olink Explore Inflammation"
Q9H6E4,CCDC134,Coiled-coil domain-containing protein 134,"Explore HT assay library, Olink Explore Oncology II"
P04180,LCAT,Phosphatidylcholine-sterol acyltransferase,"Explore HT assay library, Olink Explore Inflammation II"
P35579,MYH9,Myosin-9,"Explore HT assay library, Olink Explore Cardiometabolic II"
P36897,TGFBR1,TGF-beta receptor type-1,"Explore HT assay library, Olink Explore Inflammation II"
O75462,CRLF1,Cytokine receptor-like factor 1,"Explore HT assay library, Olink Explore Inflammation"
O43639,NCK2,Cytoplasmic protein NCK2,"Explore HT assay library, Olink Explore Inflammation"
O75563,SKAP2,Src kinase-associated phosphoprotein 2,"Explore HT assay library, Olink Explore Inflammation"
P11684,SCGB1A1,Uteroglobin,"Explore HT assay library, Olink Explore Inflammation"
P19876,CXCL3,C-X-C motif chemokine 3,"Explore HT assay library, Olink Explore Inflammation"
P54317,PNLIPRP2,Pancreatic lipase-related protein 2,"Explore HT assay library, Olink Explore Inflammation"
Q14210,LY6D,Lymphocyte antigen 6D,"Explore HT assay library, Olink Explore Inflammation"
Q9NP70,AMBN,Ameloblastin,"Explore HT assay library, Olink Explore Inflammation"
Q9UII2,ATP5IF1,"ATPase inhibitor, mitochondrial","Explore HT assay library, Olink Explore Inflammation"
B1AKI9,ISM1,Isthmin-1,"Explore HT assay library, Olink Explore Inflammation"
O95866,MPIG6B,Megakaryocyte and platelet inhibitory receptor G6b,"Explore HT assay library, Olink Explore Inflammation"
P28827,PTPRM,Receptor-type tyrosine-protein phosphatase mu,"Olink Explore Inflammation, Olink Target 96 Oncology III"
P37235,HPCAL1,Hippocalcin-like protein 1,"Explore HT assay library, Olink Explore Inflammation"
Q08174,PCDH1,Protocadherin-1,"Olink Explore Inflammation, Olink Target 96 Oncology III"
Q12918,KLRB1,Killer cell lectin-like receptor subfamily B member 1,"Explore HT assay library, Olink Explore Inflammation"
Q8IVG5,SAMD9L,Sterile alpha motif domain-containing protein 9-like,"Explore HT assay library, Olink Explore Inflammation"
Q8TCS8,PNPT1,"Polyribonucleotide nucleotidyltransferase 1, mitochondrial","Explore HT assay library, Olink Explore Inflammation"
Q8WV07,LTO1,Protein LTO1 homolog,"Explore HT assay library, Olink Explore Inflammation"
Q92484,SMPDL3A,Acid sphingomyelinase-like phosphodiesterase 3a,"Explore HT assay library, Olink Explore Inflammation"
Q96AX2,RAB37,Ras-related protein Rab-37,"Explore HT assay library, Olink Explore Inflammation"
Q99435,NELL2,Protein kinase C-binding protein NELL2,"Explore HT assay library, Olink Explore Inflammation"
Q9HC38,GLOD4,Glyoxalase domain-containing protein 4,"Explore HT assay library, Olink Explore Inflammation"
Q9UJA9,ENPP5,Ectonucleotide pyrophosphatase/phosphodiesterase family member 5,"Explore HT assay library, Olink Explore Inflammation"
Q9UJU6,DBNL,Drebrin-like protein,"Explore HT assay library, Olink Explore Inflammation"
Q9UPV0,CEP164,Centrosomal protein of 164 kDa,"Explore HT assay library, Olink Explore Inflammation"
Q9Y265,RUVBL1,RuvB-like 1,"Explore HT assay library, Olink Explore Oncology"
O00292,LEFTY2,Left-right determination factor 2,"Explore HT assay library, Olink Explore Oncology"
O43715,TRIAP1,TP53-regulated inhibitor of apoptosis 1,"Explore HT assay library, Olink Explore Oncology"
P35813,PPM1A,Protein phosphatase 1A,"Explore HT assay library, Olink Explore Oncology"
P61218,POLR2F,"DNA-directed RNA polymerases I, II, and III subunit RPABC2","Explore HT assay library, Olink Explore Oncology"
Q08AG7,MZT1,Mitotic-spindle organizing protein 1,"Explore HT assay library, Olink Explore Oncology"
Q16543,CDC37,Hsp90 co-chaperone Cdc37,"Explore HT assay library, Olink Explore Oncology"
Q6NXT1,ANKRD54,Ankyrin repeat domain-containing protein 54,"Explore HT assay library, Olink Explore Oncology"
Q6P2H3,CEP85,Centrosomal protein of 85 kDa,"Explore HT assay library, Olink Explore Oncology"
Q6UX82,LYPD8,Ly6/PLAUR domain-containing protein 8,"Explore HT assay library, Olink Explore Oncology"
Q7Z434,MAVS,Mitochondrial antiviral-signaling protein,"Explore HT assay library, Olink Explore Oncology"
Q8N386,LRRC25,Leucine-rich repeat-containing protein 25,"Explore HT assay library, Olink Explore Oncology"
Q8WWY7,WFDC12,WAP four-disulfide core domain protein 12,"Explore HT assay library, Olink Explore Oncology"
Q96NB1,CEP20,Centrosomal protein 20,"Explore HT assay library, Olink Explore Oncology"
Q9BSG5,RTBDN,Retbindin,"Explore HT assay library, Olink Explore Oncology"
Q9H6S3,EPS8L2,Epidermal growth factor receptor kinase substrate 8-like protein 2,"Explore HT assay library, Olink Explore Oncology"
Q9HAV7,GRPEL1,"GrpE protein homolog 1, mitochondrial","Explore HT assay library, Olink Explore Oncology"
Q9NUY8,TBC1D23,TBC1 domain family member 23,"Explore HT assay library, Olink Explore Oncology"
Q9NZT2,OGFR,Opioid growth factor receptor,"Explore HT assay library, Olink Explore Oncology"
O14974,PPP1R12A,Protein phosphatase 1 regulatory subunit 12A,"Explore HT assay library, Olink Explore Oncology"
O15116,LSM1,U6 snRNA-associated Sm-like protein LSm1,"Explore HT assay library, Olink Explore Oncology"
O75493,CA11,Carbonic anhydrase-related protein 11,"Explore HT assay library, Olink Explore Oncology"
P06870,KLK1,Kallikrein-1,"Explore HT assay library, Olink Explore Oncology"
P39748,FEN1,Flap endonuclease 1,"Explore HT assay library, Olink Explore Oncology"
P43628,KIR2DL3,Killer cell immunoglobulin-like receptor 2DL3,"Olink Explore Oncology, Olink Target 96 Neuro Exploratory"
P82980,RBP5,Retinol-binding protein 5,"Explore HT assay library, Olink Explore Oncology"
Q15427,SF3B4,Splicing factor 3B subunit 4,"Explore HT assay library, Olink Explore Oncology"
Q3B7J2,GFOD2,Glucose-fructose oxidoreductase domain-containing protein 2,"Explore HT assay library, Olink Explore Oncology"
Q5JTD0,TJAP1,Tight junction-associated protein 1,"Explore HT assay library, Olink Explore Oncology"
Q6PGN9,PSRC1,Proline/serine-rich coiled-coil protein 1,"Explore HT assay library, Olink Explore Oncology"
Q8N129,CNPY4,Protein canopy homolog 4,"Explore HT assay library, Olink Explore Oncology"
Q8N9I9,DTX3,Probable E3 ubiquitin-protein ligase DTX3,"Explore HT assay library, Olink Explore Oncology"
Q96DU3,SLAMF6,SLAM family member 6,"Explore HT assay library, Olink Explore Oncology"
Q96EK5,KIFBP,KIF-binding protein,"Olink Explore Oncology, Olink Target 96 Neuro Exploratory"
Q96NA2,RILP,Rab-interacting lysosomal protein,"Explore HT assay library, Olink Explore Oncology"
Q9BSW2,CRACR2A,EF-hand calcium-binding domain-containing protein 4B,"Explore HT assay library, Olink Explore Oncology"
Q9Y2Z0,SUGT1,Protein SGT1 homolog,"Explore HT assay library, Olink Explore Oncology"
Q9UHL9,GTF2IRD1,General transcription factor II-I repeat domain-containing protein 1,"Explore HT assay library, Olink Explore Oncology II"
Q8IWT1,SCN4B,Sodium channel subunit beta-4,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q5SW96,LDLRAP1,Low density lipoprotein receptor adapter protein 1,"Explore HT assay library, Olink Explore Neurology II"
P50461,CSRP3,Cysteine and glycine-rich protein 3,"Explore HT assay library, Olink Explore Cardiometabolic II"
P08590,MYL3,Myosin light chain 3,"Explore HT assay library, Olink Explore Cardiometabolic II"
O75843,AP1G2,AP-1 complex subunit gamma-like 2,"Explore HT assay library, Olink Explore Oncology II"
P16066,NPR1,Atrial natriuretic peptide receptor 1,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q9HCU4,CELSR2,Cadherin EGF LAG seven-pass G-type receptor 2,"Explore HT assay library, Olink Explore Inflammation II"
O75312,ZPR1,Zinc finger protein ZPR1,"Explore HT assay library, Olink Explore Neurology II"
Q9HC77,CENPJ,Centromere protein J,"Explore HT assay library, Olink Explore Oncology II"
Q12841,FSTL1,Follistatin-related protein 1,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q96PU5,NEDD4L,E3 ubiquitin-protein ligase NEDD4-like,"Explore HT assay library, Olink Explore Inflammation II"
P55011,SLC12A2,Solute carrier family 12 member 2,"Explore HT assay library, Olink Explore Cardiometabolic II"
P26927,MST1,Hepatocyte growth factor-like protein,"Explore HT assay library, Olink Explore Inflammation II"
P0C862,C1QTNF9,Complement C1q and tumor necrosis factor-related protein 9A,"Explore HT assay library, Olink Explore Inflammation II"
P05455,SSB,Lupus La protein,"Explore HT assay library, Olink Explore Neurology"
O43739,CYTH3,Cytohesin-3,"Explore HT assay library, Olink Explore Oncology II"
O60238,BNIP3L,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3-like,"Explore HT assay library, Olink Explore Inflammation II"
O76061,STC2,Stanniocalcin-2,"Explore HT assay library, Olink Explore Neurology"
O95393,BMP10,Bone morphogenetic protein 10,"Explore HT assay library, Olink Explore Inflammation II"
O95696,BRD1,Bromodomain-containing protein 1,"Explore HT assay library, Olink Explore Oncology II"
P00742,F10,Coagulation factor X,"Explore HT assay library, Olink Explore Inflammation II"
P02730,SLC4A1,Band 3 anion transport protein,"Explore HT assay library, Olink Explore Cardiometabolic II"
P0DML2,CSH1,Chorionic somatomammotropin hormone 1,"Explore HT assay library, Olink Explore Inflammation II"
P12829,MYL4,Myosin light chain 4,"Explore HT assay library, Olink Explore Cardiometabolic II"
P98161,PKD1,Polycystin-1,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q0ZGT2,NEXN,Nexilin,"Explore HT assay library, Olink Explore Inflammation II"
Q14011,CIRBP,Cold-inducible RNA-binding protein,"Explore HT assay library, Olink Explore Oncology II"
Q14123,PDE1C,"Dual specificity calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1C","Explore HT assay library, Olink Explore Oncology II"
Q14BN4,SLMAP,Sarcolemmal membrane-associated protein,"Explore HT assay library, Olink Explore Oncology II"
Q15043,SLC39A14,Metal cation symporter ZIP14,"Explore HT assay library, Olink Explore Neurology"
Q5JTV8,TOR1AIP1,Torsin-1A-interacting protein 1,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q5VTT5,MYOM3,Myomesin-3,"Explore HT assay library, Olink Explore Inflammation II"
Q6NZY4,ZCCHC8,Zinc finger CCHC domain-containing protein 8,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q6P5Q4,LMOD2,Leiomodin-2,"Explore HT assay library, Olink Explore Neurology II"
Q6WCQ1,MPRIP,Myosin phosphatase Rho-interacting protein,"Explore HT assay library, Olink Explore Oncology II"
Q92834,RPGR,X-linked retinitis pigmentosa GTPase regulator,"Explore HT assay library, Olink Explore Neurology II"
Q96JB5,CDK5RAP3,CDK5 regulatory subunit-associated protein 3,"Explore HT assay library, Olink Explore Neurology II"
Q9NRR1,CYTL1,Cytokine-like protein 1,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q9NS37,CREBZF,CREB/ATF bZIP transcription factor,"Explore HT assay library, Olink Explore Oncology II"
Q9Y2L6,FRMD4B,FERM domain-containing protein 4B,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q9UH65,SWAP70,Switch-associated protein 70,"Explore HT assay library, Olink Explore Oncology II"
Q8IY22,CMIP,C-Maf-inducing protein,"Explore HT assay library, Olink Explore Oncology II"
Q68DV7,RNF43,E3 ubiquitin-protein ligase RNF43,"Explore HT assay library, Olink Explore Oncology II"
Q53T59,HS1BP3,HCLS1-binding protein 3,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q04756,HGFAC,Hepatocyte growth factor activator,"Explore HT assay library, Olink Explore Inflammation II"
P30419,NMT1,Glycylpeptide N-tetradecanoyltransferase 1,"Explore HT assay library, Olink Explore Neurology II"
O14791,APOL1,Apolipoprotein L1,"Explore HT assay library, Olink Explore Inflammation II"
P07320,CRYGD,Gamma-crystallin D,"Explore HT assay library, Olink Explore Neurology II"
Q5T2W1,PDZK1,Na(+)/H(+) exchange regulatory cofactor NHE-RF3,"Explore HT assay library, Olink Explore Inflammation II"
Q16549,PCSK7,Proprotein convertase subtilisin/kexin type 7,"Explore HT assay library, Olink Explore Oncology II"
P50552,VASP,Vasodilator-stimulated phosphoprotein,"Explore HT assay library, Olink Explore Inflammation II"
P48546,GIPR,Gastric inhibitory polypeptide receptor,"Explore HT assay library, Olink Explore Inflammation II"
P02671,FGA,Fibrinogen alpha chain,"Explore HT assay library, Olink Explore Inflammation II"
Q9Y4C1,KDM3A,Lysine-specific demethylase 3A,"Explore HT assay library, Olink Explore Inflammation II"
Q9Y2Y0,ARL2BP,ADP-ribosylation factor-like protein 2-binding protein,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q9UNN8,PROCR,Endothelial protein C receptor,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q9NQ84,GPRC5C,G-protein coupled receptor family C group 5 member C,"Explore HT assay library, Olink Explore Oncology II"
Q9BZJ3,TPSD1,Tryptase delta,"Explore HT assay library, Olink Explore Neurology II"
Q9BXI9,C1QTNF6,Complement C1q tumor necrosis factor-related protein 6,"Explore HT assay library, Olink Explore Neurology II"
Q9BV40,VAMP8,Vesicle-associated membrane protein 8,"Explore HT assay library, Olink Explore Inflammation II"
Q99250,SCN2A,Sodium channel protein type 2 subunit alpha,"Explore HT assay library, Olink Explore Neurology II"
Q8WZ55,BSND,Barttin,"Explore HT assay library, Olink Explore Oncology II"
Q676U5,ATG16L1,Autophagy-related protein 16-1,"Explore HT assay library, Olink Explore Oncology II"
Q5U5Z8,AGBL2,Cytosolic carboxypeptidase 2,"Explore HT assay library, Olink Explore Neurology II"
Q14055,COL9A2,Collagen alpha-2(IX) chain,"Explore HT assay library, Olink Explore Oncology II"
Q13976,PRKG1,cGMP-dependent protein kinase 1,"Explore HT assay library, Olink Explore Inflammation II"
Q08380,LGALS3BP,Galectin-3-binding protein,"Explore HT assay library, Olink Explore Inflammation II"
P55083,MFAP4,Microfibril-associated glycoprotein 4,"Explore HT assay library, Olink Explore Inflammation II"
P50454,SERPINH1,Serpin H1,"Explore HT assay library, Olink Explore Oncology II"
P40197,GP5,Platelet glycoprotein V,"Explore HT assay library, Olink Explore Inflammation II"
P20908,COL5A1,Collagen alpha-1(V) chain,"Explore HT assay library, Olink Explore Inflammation II"
P12955,PEPD,Xaa-Pro dipeptidase,"Explore HT assay library, Olink Explore Inflammation II"
P10523,SAG,S-arrestin,"Explore HT assay library, Olink Explore Neurology II"
P02749,APOH,Beta-2-glycoprotein 1,"Explore HT assay library, Olink Explore Neurology"
O95256,IL18RAP,Interleukin-18 receptor accessory protein,"Explore HT assay library, Olink Explore Neurology"
O60234,GMFG,Glia maturation factor gamma,"Explore HT assay library, Olink Explore Cardiometabolic II"
O43734,TRAF3IP2,E3 ubiquitin ligase TRAF3IP2,"Explore HT assay library, Olink Explore Cardiometabolic II"
O14717,TRDMT1,tRNA (cytosine(38)-C(5))-methyltransferase,"Explore HT assay library, Olink Explore Oncology II"
Q04323,UBXN1,UBX domain-containing protein 1,"Explore HT assay library, Olink Explore Inflammation II"
Q8IYW5,RNF168,E3 ubiquitin-protein ligase RNF168,"Explore HT assay library, Olink Explore Inflammation II"
Q9NWV8,BABAM1,BRISC and BRCA1-A complex member 1,"Explore HT assay library, Olink Explore Inflammation II"
A6NCE7,MAP1LC3B2,Microtubule-associated proteins 1A/1B light chain 3 beta 2,"Explore HT assay library, Olink Explore Cardiometabolic II"
E2RYF7,HCG22,Protein PBMUCL2,"Explore HT assay library, Olink Explore Cardiometabolic II"
I3L3R5,CCER2,Coiled-coil domain-containing glutamate-rich protein 2,"Explore HT assay library, Olink Explore Cardiometabolic II"
O75061,DNAJC6,Putative tyrosine-protein phosphatase auxilin,"Explore HT assay library, Olink Explore Cardiometabolic II"
O75154,RAB11FIP3,Rab11 family-interacting protein 3,"Explore HT assay library, Olink Explore Cardiometabolic II"
O95825,CRYZL1,Quinone oxidoreductase-like protein 1,"Explore HT assay library, Olink Explore Cardiometabolic II"
P01225,FSHB,Follitropin subunit beta,"Explore HT assay library, Olink Explore Cardiometabolic II"
P05000,IFNW1,Interferon omega-1,"Explore HT assay library, Olink Explore Cardiometabolic II"
P08217,CELA2A,Chymotrypsin-like elastase family member 2A,"Explore HT assay library, Olink Explore Cardiometabolic II"
P13796,LCP1,Plastin-2,"Explore HT assay library, Olink Explore Cardiometabolic II"
P20382,PMCH,Pro-MCH,"Explore HT assay library, Olink Explore Cardiometabolic II"
P21754,ZP3,Zona pellucida sperm-binding protein 3,"Explore HT assay library, Olink Explore Cardiometabolic II"
P38935,IGHMBP2,DNA-binding protein SMUBP-2,"Explore HT assay library, Olink Explore Cardiometabolic II"
P39059,COL15A1,Collagen alpha-1(XV) chain,"Explore HT assay library, Olink Explore Cardiometabolic II"
P51511,MMP15,Matrix metalloproteinase-15,"Explore HT assay library, Olink Explore Cardiometabolic II"
P54296,MYOM2,Myomesin-2,"Explore HT assay library, Olink Explore Cardiometabolic II"
P62072,TIMM10,Mitochondrial import inner membrane translocase subunit Tim10,"Explore HT assay library, Olink Explore Cardiometabolic II"
P78524,DENND2B,DENN domain-containing protein 2B,"Explore HT assay library, Olink Explore Cardiometabolic II"
P78539,SRPX,Sushi repeat-containing protein SRPX,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q04695,KRT17,"Keratin, type I cytoskeletal 17","Explore HT assay library, Olink Explore Cardiometabolic II"
Q12982,BNIP2,BCL2/adenovirus E1B 19 kDa protein-interacting protein 2,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q14324,MYBPC2,"Myosin-binding protein C, fast-type","Explore HT assay library, Olink Explore Cardiometabolic II"
Q14807,KIF22,Kinesin-like protein KIF22,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q5FWE3,PRRT3,Proline-rich transmembrane protein 3,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q6UWF7,NXPE4,NXPE family member 4,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q7Z7H5,TMED4,Transmembrane emp24 domain-containing protein 4,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q7Z7M9,GALNT5,Polypeptide N-acetylgalactosaminyltransferase 5,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q86X76,NIT1,Deaminated glutathione amidase,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q8IVF2,AHNAK2,Protein AHNAK2,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q8N114,SHISA5,Protein shisa-5,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q8N436,CPXM2,Inactive carboxypeptidase-like protein X2,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q8N4F0,BPIFB2,BPI fold-containing family B member 2,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q8N668,COMMD1,COMM domain-containing protein 1,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q8N6C8,LILRA3,Leukocyte immunoglobulin-like receptor subfamily A member 3,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q8ND90,PNMA1,Paraneoplastic antigen Ma1,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q969X0,RILPL2,RILP-like protein 2,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q96CG8,CTHRC1,Collagen triple helix repeat-containing protein 1,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q96DA2,RAB39B,Ras-related protein Rab-39B,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q96FZ7,CHMP6,Charged multivesicular body protein 6,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q96MK3,FAM20A,Pseudokinase FAM20A,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q9BQI0,AIF1L,Allograft inflammatory factor 1-like,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q9BYJ0,FGFBP2,Fibroblast growth factor-binding protein 2,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q9HCU0,CD248,Endosialin,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q9NYX4,CALY,Neuron-specific vesicular protein calcyon,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q9Y303,AMDHD2,N-acetylglucosamine-6-phosphate deacetylase,"Explore HT assay library, Olink Explore Cardiometabolic II"
A6NHS7,MANSC4,MANSC domain-containing protein 4,"Explore HT assay library, Olink Explore Cardiometabolic II"
O00567,NOP56,Nucleolar protein 56,"Explore HT assay library, Olink Explore Cardiometabolic II"
O14960,LECT2,Leukocyte cell-derived chemotaxin-2,"Explore HT assay library, Olink Explore Cardiometabolic II"
O43681,GET3,ATPase GET3,"Explore HT assay library, Olink Explore Cardiometabolic II"
O75427,LRCH4,Leucine-rich repeat and calponin homology domain-containing protein 4,"Explore HT assay library, Olink Explore Cardiometabolic II"
O75521,ECI2,Enoyl-CoA delta isomerase 2,"Explore HT assay library, Olink Explore Cardiometabolic II"
O75534,CSDE1,Cold shock domain-containing protein E1,"Explore HT assay library, Olink Explore Cardiometabolic II"
P05026,ATP1B1,Sodium/potassium-transporting ATPase subunit beta-1,"Explore HT assay library, Olink Explore Cardiometabolic II"
P07098,LIPF,Gastric triacylglycerol lipase,"Explore HT assay library, Olink Explore Cardiometabolic II"
P07492,GRP,Gastrin-releasing peptide,"Explore HT assay library, Olink Explore Cardiometabolic II"
P13224,GP1BB,Platelet glycoprotein Ib beta chain,"Explore HT assay library, Olink Explore Cardiometabolic II"
P13667,PDIA4,Protein disulfide-isomerase A4,"Explore HT assay library, Olink Explore Cardiometabolic II"
P14415,ATP1B2,Sodium/potassium-transporting ATPase subunit beta-2,"Explore HT assay library, Olink Explore Cardiometabolic II"
P29692,EEF1D,Elongation factor 1-delta,"Explore HT assay library, Olink Explore Cardiometabolic II"
P58107,EPPK1,Epiplakin,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q01780,EXOSC10,Exosome component 10,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q13316,DMP1,Dentin matrix acidic phosphoprotein 1,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q14160,SCRIB,Protein scribble homolog,"Explore HT assay library, Olink Explore Cardiometabolic II, Olink Explore Inflammation II, Olink Explore Neurology II, Olink Explore Oncology II"
Q58F21,BRDT,Bromodomain testis-specific protein,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q5SW79,CEP170,Centrosomal protein of 170 kDa,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q6PI73,LILRA6,Leukocyte immunoglobulin-like receptor subfamily A member 6,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q6YN16,HSDL2,Hydroxysteroid dehydrogenase-like protein 2,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q8IZF2,ADGRF5,Adhesion G protein-coupled receptor F5,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q8NC42,RNF149,E3 ubiquitin-protein ligase RNF149,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q8NET8,TRPV3,Transient receptor potential cation channel subfamily V member 3,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q96C24,SYTL4,Synaptotagmin-like protein 4,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q96ID5,IGSF21,Immunoglobulin superfamily member 21,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q96NZ9,PRAP1,Proline-rich acidic protein 1,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q9H3K6,"BOLA2, BOLA2B",BolA-like protein 2,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q9H7C9,AAMDC,Mth938 domain-containing protein,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q9P2J2,IGSF9,Protein turtle homolog A,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q9UFP1,GASK1A,Golgi-associated kinase 1A,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q9Y2Y8,PRG3,Proteoglycan 3,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q9Y5X3,SNX5,Sorting nexin-5,"Explore HT assay library, Olink Explore Cardiometabolic II"
A6NDB9,PALM3,Paralemmin-3,"Explore HT assay library, Olink Explore Cardiometabolic II"
B6SEH8,ERVV-1,Endogenous retrovirus group V member 1 Env polyprotein,"Explore HT assay library, Olink Explore Cardiometabolic II"
O43280,TREH,Trehalase,"Explore HT assay library, Olink Explore Cardiometabolic II"
O43290,SART1,U4/U6.U5 tri-snRNP-associated protein 1,"Explore HT assay library, Olink Explore Cardiometabolic II"
O60476,MAN1A2,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB","Explore HT assay library, Olink Explore Cardiometabolic II"
O75711,SCRG1,Scrapie-responsive protein 1,"Explore HT assay library, Olink Explore Cardiometabolic II"
O95980,RECK,Reversion-inducing cysteine-rich protein with Kazal motifs,"Explore HT assay library, Olink Explore Cardiometabolic II"
P05976,MYL1,"Myosin light chain 1/3, skeletal muscle isoform","Explore HT assay library, Olink Explore Cardiometabolic II"
P07942,LAMB1,Laminin subunit beta-1,"Explore HT assay library, Olink Explore Cardiometabolic II"
P0C7L1,SPINK8,Serine protease inhibitor Kazal-type 8,"Explore HT assay library, Olink Explore Cardiometabolic II"
P20929,NEB,Nebulin,"Explore HT assay library, Olink Explore Cardiometabolic II"
P40199,CEACAM6,Carcinoembryonic antigen-related cell adhesion molecule 6,"Explore HT assay library, Olink Explore Cardiometabolic II"
P48668,KRT6C,"Keratin, type II cytoskeletal 6C","Explore HT assay library, Olink Explore Cardiometabolic II"
P53674,CRYBB1,Beta-crystallin B1,"Explore HT assay library, Olink Explore Cardiometabolic II"
P54709,ATP1B3,Sodium/potassium-transporting ATPase subunit beta-3,"Explore HT assay library, Olink Explore Cardiometabolic II"
P55000,SLURP1,Secreted Ly-6/uPAR-related protein 1,"Explore HT assay library, Olink Explore Cardiometabolic II"
P55769,SNU13,NHP2-like protein 1,"Explore HT assay library, Olink Explore Cardiometabolic II"
P57078,RIPK4,Receptor-interacting serine/threonine-protein kinase 4,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q0VD83,APOBR,Apolipoprotein B receptor,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q12986,NFX1,Transcriptional repressor NF-X1,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q14088,RAB33A,Ras-related protein Rab-33A,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q15477,SKIC2,Superkiller complex protein 2,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q24JP5,TMEM132A,Transmembrane protein 132A,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q5GAN6,RNASE10,Inactive ribonuclease-like protein 10,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q5VVQ6,YOD1,Ubiquitin thioesterase OTU1,"Explore HT assay library, Olink Explore Cardiometabolic II"
Q6H9L7,ISM2,Isthmin-2,"Explore HT assay library, Olink Explore Cardiometabolic II"
